#{"t_start": 1764546431.9527905, "env_id": "dm_control/cartpole-balance-v0"}
r,l,t
488.60222,1000,0.793117
324.929303,1000,1.500861
377.831244,1000,15.601064
384.010634,1000,16.302859
346.56756,1000,30.332887
391.24267,1000,31.009604
450.305283,1000,45.188723
323.399783,1000,45.835552
348.120715,1000,59.980775
416.705925,1000,60.636396
290.833912,1000,90.424658
392.223537,1000,106.692718
394.826716,1000,136.420586
436.466059,1000,152.662529
468.214677,1000,182.072114
479.617506,1000,198.355214
204.654534,1000,227.794924
563.314798,1000,244.325939
411.782333,1000,275.043266
469.58809,1000,291.617855
610.390994,1000,321.663102
665.224692,1000,337.922965
845.648612,1000,366.708381
682.954019,1000,382.804468
788.502451,1000,411.921386
741.988496,1000,427.979867
726.455622,1000,456.992913
471.209962,1000,473.123641
729.324086,1000,502.40464
723.789,1000,518.50078
848.834965,1000,547.977912
804.795395,1000,560.591388
893.941489,1000,576.118137
858.917329,1000,584.001461
925.780114,1000,599.65636
946.157603,1000,607.563029
963.176556,1000,624.110222
969.726298,1000,632.049309
966.981425,1000,647.729365
967.69112,1000,655.655139
969.068613,1000,671.649189
968.897196,1000,679.577048
970.273681,1000,695.943933
962.614573,1000,703.908749
965.432791,1000,719.694904
972.901523,1000,727.603784
975.053091,1000,743.471774
988.819282,1000,751.436522
990.361726,1000,767.718545
989.605859,1000,775.674247
989.893622,1000,791.482057
989.936632,1000,799.460872
991.38159,1000,815.611456
987.982944,1000,823.53662
968.495254,1000,839.252151
966.900513,1000,848.768556
969.222393,1000,867.622928
972.675713,1000,877.39142
976.207453,1000,896.257203
979.836566,1000,905.972135
980.714233,1000,924.488953
984.779575,1000,934.217106
768.086215,1000,953.010741
987.867597,1000,962.821125
750.705599,1000,984.166899
991.090444,1000,994.044567
992.98092,1000,1012.69274
992.098924,1000,1022.402467
993.815553,1000,1041.443389
994.945836,1000,1051.083534
996.709893,1000,1069.810857
996.736746,1000,1079.590245
996.722767,1000,1098.438451
997.108527,1000,1108.2007
997.349639,1000,1126.984903
997.454945,1000,1136.880216
997.09463,1000,1155.751141
997.161831,1000,1165.438797
997.084291,1000,1183.968741
996.81882,1000,1193.849838
